,label,num_niches,mean_load,var_load,load_ratio,mean_resources,weighted_pref,cosine_similarity,taylor,alpha,EnvDim,EnvDimLog,EnvPr,EnvPrLog,EnvPrCorr,EnvPrLogCorr,best_dist,num_resources,generalists,crm_sparsity,mean_num_resources,comp,exp_cg,exp_cg_null,NicheDim,NicheDim_null
123,PRJNA674420,4,0.09046759842282664,0.00017114888214544245,0.03414465703506548,29.586206896551722,30.869146656864533,0.9051737809011782,1.0534272311161055,2.727872819682413,2.940732020825559,3.4937893556050073,62.54651012604423,63.867010802649595,-23.327480127534507,-21.384150751837346,0.22605400427429662,250,1.0433627657914586,0.1183448275862069,29.586206896551722,5.556692316837975,0.13841045736467802,0.08957263263397601,7.224887620775952,11.164124248600992
124,PRJNA685389,4,0.24276090867645844,0.0007578609921942835,0.09578451977207043,30.16304347826087,32.18939026903758,0.9017728263633472,1.0749404393193525,2.7961576178651417,2.93760612005692,3.6631522677048567,65.44759564692589,64.40037287889031,-21.25829022208677,-21.782030052729738,0.22958464007548854,250,1.0671797854960205,0.12065217391304348,30.16304347826087,6.189253256931161,0.146679757104962,0.078073372821546,6.817573329388689,12.808464190290865
125,PRJEB6358,4,0.02915118493119325,6.728088667022289e-05,0.012057429081766132,30.01492537313433,32.95985100879749,0.9042458344235249,1.0680997358317696,2.021737362227472,3.647448778127492,4.44086104819633,73.27979631922693,75.7164864946884,-14.286891853420727,-11.340126550614059,0.14802104198164712,250,1.0981153742364158,0.12005970149253731,30.01492537313433,5.419867078002184,0.16840537732100702,0.164124034091292,5.938052667367286,6.092952842261738
126,PRJNA706727,4,0.06169227700026382,0.0001231608517306325,0.026103264621420624,28.833333333333332,29.267172483463927,0.9055355521070633,1.1114116325198968,2.4226960434665874,2.876951513807207,3.4640549214750522,63.3219935906791,64.01572884674229,-22.71215509237352,-22.069442929111077,0.27091504998362925,250,1.0150464445132,0.11533333333333333,28.833333333333332,7.2001787337599215,0.169509600247384,0.11174132180622201,5.899370882478573,8.949240834417244
127,PRJEB36316,4,1.4936249892272426,0.009088030632730091,0.574839362324491,29.343434343434343,31.525137566351557,0.9059756310020893,0.93324639502199,3.113338243375203,2.782729907775271,3.337932834100313,60.40633051638657,60.06358791755626,-25.445698781117777,-25.525010309953274,0.13917077135815908,250,1.0743506433971788,0.11737373737373738,29.343434343434343,5.535433032419817,0.14555677748877002,0.065489492117899,6.870171332813079,15.26962521254137
128,PRJNA644520,4,0.12042089725533683,0.00024948911635499436,0.04846489749194238,30.324675324675326,32.73740623816733,0.9042868209660573,1.1009054641651563,2.3677081947862613,2.959053590385042,3.5619936316260796,61.49686121339696,62.065063345041935,-23.809577053812397,-22.998318364410892,0.15024301904908993,250,1.0795632892243616,0.1212987012987013,30.324675324675326,5.098184209508997,0.19222000009450302,0.11292161619518601,5.202372279202789,8.855700384871318
129,PRJNA392012,4,0.7926332519556857,0.0014912152964443861,0.3163840462575377,30.02469135802469,32.08171921970659,0.9043752124072132,0.8868464193429259,3.2666933524655377,2.4381527497125126,3.204903728652111,53.144837847733335,50.149180598006616,-33.87666059173274,-36.811248086289815,0.2947722452207573,250,1.068511207564241,0.12009876543209877,30.02469135802469,5.004845957772142,0.18056176141058403,0.059778073436957006,5.538271183155299,16.7285417964267
130,PRJNA720325,4,0.08186160607723025,7.991812452144482e-05,0.03011099955385768,29.678571428571427,30.928058334672013,0.9061983885710267,1.0200510187077652,2.859403322468853,4.542715122675525,5.784879162252009,80.39542229090961,83.12141919417779,-8.405979895475696,-5.5455213216581285,0.16843657084240848,250,1.0421006418421377,0.11871428571428572,29.678571428571427,4.683434665790535,0.09054281221867501,0.07724809252827801,11.044499010974434,12.945303466670488
131,PRJNA685914,4,0.1036244114012515,0.00013206313753147262,0.0435196833177165,29.96875,31.604473174266438,0.9047301680251469,1.0805636011140105,2.859411132313452,3.354770119638299,4.064421958735496,72.61877803308515,74.99528889678572,-15.947830565679226,-13.454970890360897,0.29731643019446335,250,1.0545809609765653,0.119875,29.96875,5.183893792394294,0.106974606072384,0.07955716454580801,9.348012923023557,12.569578185811444
132,PRJNA306884,4,0.12854849904875665,0.0002776970481245715,0.04898022467545338,30.347826086956523,34.223830283726514,0.9047038644567306,1.0360468717424396,2.483041536635947,3.2661412743763782,3.7299081042141635,69.98410034955695,70.76891547318638,-17.51437482032219,-16.916796404180474,0.2999185960999926,250,1.1277193359967188,0.12139130434782609,30.347826086956523,5.203953060066229,0.129777097330464,0.09958985973125901,7.705519853426858,10.041182934673042
